"Player","Team","Position","Type","Team","Pr","Date (EDT)","Gameweek"
"Marvelous Nakamba","LUT","M","Claim","1-The Dentist","1","Tue Oct 3, 2023, 9:51PM","8"
"Wes Foderingham","SHU","G","Claim","1-The Dentist","1","Tue Oct 3, 2023, 9:50PM","8"
"Thomas Kaminski","LUT","G","Drop","1-The Dentist","1","Tue Oct 3, 2023, 9:50PM","8"
"Milos Kerkez","BOU","D","Claim","1-Burnley and Old Trafford","1","Tue Oct 3, 2023, 9:43PM","8"
"Ibrahim Sangare","NOT","M","Drop","1-Burnley and Old Trafford","1","Tue Oct 3, 2023, 9:43PM","8"
"Robert Sanchez","CHE","G","Claim","1 - The Narrative","1","Tue Oct 3, 2023, 9:18PM","8"
"James Trafford","BUR","G","Drop","1 - The Narrative","1","Tue Oct 3, 2023, 9:18PM","8"
"Micky van de Ven","TOT","D","Claim","1 - The Narrative","1","Tue Oct 3, 2023, 9:17PM","8"
"John McGinn","AVL","M","Claim","1-OGBEAN'S","1","Tue Oct 3, 2023, 9:14PM","8"
"Joel Matip","LIV","D","Drop","1-OGBEAN'S","1","Tue Oct 3, 2023, 9:14PM","8"
"Matheus Cunha","WOL","F","Claim","1-OGBEAN'S","1","Tue Oct 3, 2023, 9:13PM","8"
"Marc Cucurella","CHE","D","Drop","1-OGBEAN'S","1","Tue Oct 3, 2023, 9:13PM","8"
"Jose Sa","WOL","G","Claim","1-Check Complete FC","3","Tue Oct 3, 2023, 9:00PM","8"
"Ederson","MCI","G","Drop","1-Check Complete FC","3","Tue Oct 3, 2023, 9:00PM","8"
"Raphael Varane","MUN","D","Claim","1-Koke Vegas","2","Tue Oct 3, 2023, 9:00PM","8"
"Odsonne Edouard","CRY","F","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Oct 3, 2023, 9:00PM","8"
"Christian Eriksen","MUN","M","Claim","1-Check Complete FC","1","Tue Oct 3, 2023, 9:00PM","8"
"Harrison Reed","FUL","M","Drop","1-Check Complete FC","1","Tue Oct 3, 2023, 9:00PM","8"
"Marvelous Nakamba","LUT","M","Drop","1-Koke Vegas","1","Tue Oct 3, 2023, 8:36PM","8"
"Chiedozie Ogbene","LUT","F","Drop","1-Koke Vegas","1","Tue Oct 3, 2023, 8:09PM","8"
"Aaron Ramsey","AVL/BUR","M","Drop","1-The Dentist","1","Tue Oct 3, 2023, 3:58PM","8"
"Tim Ream","FUL","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Mon Oct 2, 2023, 2:35PM","7"
"Carney Chukwuemeka","CHE","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Mon Oct 2, 2023, 2:35PM","7"
"Serge Aurier","NOT","D","Claim","1-rice cooker","1","Sun Oct 1, 2023, 8:09AM","7"
"Scott McKenna","NOT","D","Drop","1-rice cooker","1","Sun Oct 1, 2023, 8:09AM","7"
"Facundo Pellistri","MUN","M","Drop","1 - The Narrative","1","Sat Sep 30, 2023, 1:47PM","8"
"Tom Lockyer","LUT","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 30, 2023, 1:10PM","8"
"Joel Matip","LIV","D","Claim","1-OGBEAN'S","1","Sat Sep 30, 2023, 11:45AM","7"
"Reiss Nelson","ARS","F","Drop","1-OGBEAN'S","1","Sat Sep 30, 2023, 9:22AM","7"
"Luca Koleosho","BUR","F","Claim","1-bruNO HARD FEELINGS","1","Sat Sep 30, 2023, 9:06AM","7"
"Said Benrahma","WHU","M","Drop","1-bruNO HARD FEELINGS","1","Sat Sep 30, 2023, 9:06AM","7"
"Jamaal Lascelles","NEW","D","Claim","1-john lim","1","Sat Sep 30, 2023, 9:05AM","7"
"Rayan Ait-Nouri","WOL","D","Drop","1-john lim","1","Sat Sep 30, 2023, 9:05AM","7"
"Christian Eriksen","MUN","M","Drop","1-The Dentist","1","Sat Sep 30, 2023, 9:02AM","7"
"Facundo Pellistri","MUN","M","Claim","1 - The Narrative","1","Sat Sep 30, 2023, 9:02AM","7"
"Fabio Vieira","ARS","M","Drop","1 - The Narrative","1","Sat Sep 30, 2023, 9:02AM","7"
"Nathan Ake","MCI","D","Claim","1 - The Narrative","1","Sat Sep 30, 2023, 9:01AM","7"
"Sergio Reguilon","TOT/MUN/BRF","D","Drop","1 - The Narrative","1","Sat Sep 30, 2023, 9:01AM","7"
"James Trafford","BUR","G","Claim","1 - The Narrative","1","Sat Sep 30, 2023, 8:18AM","7"
"Matt Turner","NOT","G","Drop","1 - The Narrative","1","Sat Sep 30, 2023, 8:18AM","7"
"Tom Lockyer","LUT","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 30, 2023, 1:30AM","7"
"John McGinn","AVL","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 30, 2023, 1:20AM","7"
"Reiss Nelson","ARS","F","Claim","1-OGBEAN'S","1","Fri Sep 29, 2023, 10:24PM","7"
"Nicolo Zaniolo","AVL","M","Drop","1-OGBEAN'S","1","Fri Sep 29, 2023, 10:24PM","7"
"Christian Eriksen","MUN","M","Claim","1-The Dentist","1","Fri Sep 29, 2023, 9:58PM","7"
"Serge Aurier","NOT","D","Drop","1-The Dentist","1","Fri Sep 29, 2023, 9:36PM","7"
"Serge Aurier","NOT","D","Claim","1-The Dentist","1","Fri Sep 29, 2023, 8:25PM","7"
"Reiss Nelson","ARS","F","Drop","1-The Dentist","1","Fri Sep 29, 2023, 8:25PM","7"
"Reiss Nelson","ARS","F","Claim","1-The Dentist","1","Fri Sep 29, 2023, 3:38PM","7"
"Reiss Nelson","ARS","F","Drop","1-The Dentist","1","Fri Sep 29, 2023, 3:29PM","7"
"Nicolo Zaniolo","AVL","M","Claim","1-OGBEAN'S","1","Fri Sep 29, 2023, 2:03PM","7"
"Marc Cucurella","CHE","D","Claim","1-OGBEAN'S","1","Fri Sep 29, 2023, 2:03PM","7"
"Joseph Gomez","LIV","D","Drop","1-OGBEAN'S","1","Fri Sep 29, 2023, 2:03PM","7"
"Carney Chukwuemeka","CHE","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Fri Sep 29, 2023, 12:43PM","7"
"Felipe","NOT","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Fri Sep 29, 2023, 12:43PM","7"
"Odsonne Edouard","CRY","F","Drop","1-OGBEAN'S","1","Fri Sep 29, 2023, 10:49AM","7"
"Antony","MUN","F","Claim","1-Koke Vegas","1","Fri Sep 29, 2023, 6:59AM","7"
"Hannibal Mejbri","MUN","M","Drop","1-Koke Vegas","1","Fri Sep 29, 2023, 6:59AM","7"
"Oliver McBurnie","SHU","F","Claim","1-john lim","1","Thu Sep 28, 2023, 9:27PM","7"
"Boubacar Kamara","AVL","M","Claim","1-john lim","1","Thu Sep 28, 2023, 9:26PM","7"
"Arnaut Danjuma Groeneveld","EVE","F","Drop","1-john lim","1","Thu Sep 28, 2023, 9:05PM","7"
"Rodrigo Bentancur","TOT","M","Drop","1-john lim","1","Thu Sep 28, 2023, 9:05PM","7"
"Axel Disasi","CHE","D","Claim","1-The Dentist","1","Thu Sep 28, 2023, 9:02PM","7"
"Nicolo Zaniolo","AVL","M","Drop","1-The Dentist","1","Thu Sep 28, 2023, 9:02PM","7"
"Nicolo Zaniolo","AVL","M","Claim","1-The Dentist","1","Thu Sep 28, 2023, 4:45PM","7"
"Boubacar Kamara","AVL","M","Drop","1-The Dentist","1","Thu Sep 28, 2023, 4:45PM","7"
"Nayef Aguerd","WHU","D","Claim","1-The Dentist","1","Thu Sep 28, 2023, 4:44PM","7"
"Marc Cucurella","CHE","D","Drop","1-The Dentist","1","Thu Sep 28, 2023, 4:44PM","7"
"Marc Cucurella","CHE","D","Claim","1-The Dentist","1","Thu Sep 28, 2023, 7:33AM","7"
"Nayef Aguerd","WHU","D","Drop","1-The Dentist","1","Thu Sep 28, 2023, 7:33AM","7"
"Boubacar Kamara","AVL","M","Claim","1-The Dentist","1","Wed Sep 27, 2023, 8:18PM","7"
"Marc Cucurella","CHE","D","Drop","1-The Dentist","1","Wed Sep 27, 2023, 8:18PM","7"
"Marc Cucurella","CHE","D","Claim","1-The Dentist","1","Wed Sep 27, 2023, 7:53PM","7"
"Raphael Varane","MUN","D","Drop","1-The Dentist","1","Wed Sep 27, 2023, 7:53PM","7"
"Hannibal Mejbri","MUN","M","Claim","1-Koke Vegas","1","Wed Sep 27, 2023, 4:14PM","7"
"Tom Lockyer","LUT","D","Drop","1-Koke Vegas","1","Wed Sep 27, 2023, 4:14PM","7"
"Reiss Nelson","ARS","F","Claim","1-The Dentist","1","Wed Sep 27, 2023, 2:53PM","7"
"Alex Moreno","AVL","D","Drop","1-The Dentist","1","Wed Sep 27, 2023, 2:53PM","7"
"Nayef Aguerd","WHU","D","Claim","1-The Dentist","1","Wed Sep 27, 2023, 9:35AM","7"
"Will Hughes","CRY","M","Drop","1-The Dentist","1","Wed Sep 27, 2023, 9:02AM","7"
"Zeki Amdouni","BUR","F","Claim","1-ComeBack Szn","1","Tue Sep 26, 2023, 11:03PM","7"
"Jeffrey Schlupp","CRY","M","Drop","1-ComeBack Szn","1","Tue Sep 26, 2023, 11:03PM","7"
"Sean Longstaff","NEW","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 26, 2023, 10:57PM","7"
"Will Hughes","CRY","M","Claim","1-The Dentist","1","Tue Sep 26, 2023, 10:46PM","7"
"Oliver McBurnie","SHU","F","Drop","1-The Dentist","1","Tue Sep 26, 2023, 10:46PM","7"
"Oliver McBurnie","SHU","F","Claim","1-The Dentist","1","Tue Sep 26, 2023, 10:03PM","7"
"Nathan Ake","MCI","D","Drop","1-The Dentist","1","Tue Sep 26, 2023, 10:03PM","7"
"Josh Brownhill","BUR","M","Claim","1-OGBEAN'S","1","Tue Sep 26, 2023, 9:10PM","7"
"Mario Lemina","WOL","M","Drop","1-OGBEAN'S","1","Tue Sep 26, 2023, 9:10PM","7"
"Alex Moreno","AVL","D","Claim","1-The Dentist","1","Tue Sep 26, 2023, 9:07PM","7"
"Raphael Varane","MUN","D","Claim","1-The Dentist","1","Tue Sep 26, 2023, 9:03PM","7"
"Nathan Ake","MCI","D","Claim","1-The Dentist","1","Tue Sep 26, 2023, 9:02PM","7"
"Aaron Ramsey","AVL/BUR","M","Claim","1-The Dentist","1","Tue Sep 26, 2023, 9:02PM","7"
"Emerson","WHU","D","Claim","1-The Dentist","1","Tue Sep 26, 2023, 9:02PM","7"
"Rodrigo Bentancur","TOT","M","Claim","1-john lim","1","Tue Sep 26, 2023, 9:02PM","7"
"Ryan Gravenberch","LIV","M","Claim","1 - The Narrative","3","Tue Sep 26, 2023, 9:00PM","7"
"Vitalii Mykolenko","EVE","D","Claim","1-Burnley and Old Trafford","2","Tue Sep 26, 2023, 9:00PM","7"
"Ezri Konsa","AVL","D","Drop","1-Burnley and Old Trafford","2","Tue Sep 26, 2023, 9:00PM","7"
"Tom Lockyer","LUT","D","Claim","1-Koke Vegas","3","Tue Sep 26, 2023, 9:00PM","7"
"Axel Disasi","CHE","D","Drop","1-Koke Vegas","3","Tue Sep 26, 2023, 9:00PM","7"
"Kurt Zouma","WHU","D","Claim","1 - The Narrative","2","Tue Sep 26, 2023, 9:00PM","7"
"Josh Cullen","BUR","M","Claim","1-Burnley and Old Trafford","1","Tue Sep 26, 2023, 9:00PM","7"
"Kevin Schade","BRF","M","Drop","1-Burnley and Old Trafford","1","Tue Sep 26, 2023, 9:00PM","7"
"Chiedozie Ogbene","LUT","F","Claim","1-Koke Vegas","1","Tue Sep 26, 2023, 9:00PM","7"
"James Mcatee","MCI/SHU","M","Drop","1-Koke Vegas","1","Tue Sep 26, 2023, 9:00PM","7"
"James Garner","EVE","M","Claim","1-bruNO HARD FEELINGS","1","Tue Sep 26, 2023, 9:00PM","7"
"Noni Madueke","CHE","F","Drop","1-bruNO HARD FEELINGS","1","Tue Sep 26, 2023, 9:00PM","7"
"Levi Colwill","CHE","D","Claim","1 - The Narrative","1","Tue Sep 26, 2023, 9:00PM","7"
"Joel Matip","LIV","D","Drop","1-The Dentist","1","Mon Sep 25, 2023, 11:28AM","7"
"Facundo Buonanotte","BHA","M","Drop","1-The Dentist","1","Mon Sep 25, 2023, 11:16AM","7"
"Jose Sa","WOL","G","Drop","1-The Dentist","1","Mon Sep 25, 2023, 11:14AM","7"
"Milos Kerkez","BOU","D","Drop","1 - The Narrative","1","Sun Sep 24, 2023, 10:57AM","7"
"Moises Caicedo","BHA/CHE","M","Claim","1-ComeBack Szn","1","Sun Sep 24, 2023, 8:42AM","6"
"Carlos Baleba","BHA","M","Drop","1-ComeBack Szn","1","Sun Sep 24, 2023, 8:42AM","6"
"Joel Matip","LIV","D","Claim","1-The Dentist","1","Sun Sep 24, 2023, 8:06AM","6"
"Alex Moreno","AVL","D","Drop","1-The Dentist","1","Sun Sep 24, 2023, 8:06AM","6"
"David Raya","BRF/ARS","G","Claim","1-john lim","1","Sun Sep 24, 2023, 8:05AM","6"
"Aaron Ramsdale","ARS","G","Drop","1-john lim","1","Sun Sep 24, 2023, 8:05AM","6"
"Facundo Buonanotte","BHA","M","Claim","1-The Dentist","1","Sun Sep 24, 2023, 8:03AM","6"
"Jan-Paul van Hecke","BHA","D","Drop","1-The Dentist","1","Sun Sep 24, 2023, 8:03AM","6"
"Jan-Paul van Hecke","BHA","D","Claim","1-The Dentist","1","Sat Sep 23, 2023, 9:53PM","6"
"Kurt Zouma","WHU","D","Drop","1-The Dentist","1","Sat Sep 23, 2023, 9:53PM","6"
"Fabio Vieira","ARS","M","Claim","1-The Dentist","1","Sat Sep 23, 2023, 2:21PM","6"
"Kurt Zouma","WHU","D","Claim","1-The Dentist","1","Sat Sep 23, 2023, 2:16PM","6"
"Christian Eriksen","MUN","M","Drop","1-The Dentist","1","Sat Sep 23, 2023, 2:15PM","6"
"Craig Dawson","WOL","D","Drop","1-The Dentist","1","Sat Sep 23, 2023, 12:13PM","7"
"Mads Roerslev","BRF","D","Drop","1-The Dentist","1","Sat Sep 23, 2023, 12:13PM","6"
"Mads Roerslev","BRF","D","Claim","1-The Dentist","1","Sat Sep 23, 2023, 11:36AM","6"
"Facundo Buonanotte","BHA","M","Drop","1-The Dentist","1","Sat Sep 23, 2023, 11:36AM","6"
"Nelson Semedo","WOL","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 23, 2023, 11:34AM","7"
"Matheus Cunha","WOL","F","Drop","1-The Dentist","1","Sat Sep 23, 2023, 11:33AM","7"
"Joao Gomes","WOL","M","Drop","1 - The Narrative","1","Sat Sep 23, 2023, 10:53AM","7"
"Jean-Ricner Bellegarde","WOL","M","Drop","1 - The Narrative","1","Sat Sep 23, 2023, 10:53AM","7"
"Willy Boly","NOT","D","Claim","1-OGBEAN'S","1","Sat Sep 23, 2023, 9:33AM","6"
"Joao Gomes","WOL","M","Claim","1 - The Narrative","1","Sat Sep 23, 2023, 9:28AM","6"
"Cameron Archer","AVL/SHU","F","Drop","1 - The Narrative","1","Sat Sep 23, 2023, 9:28AM","6"
"Ezri Konsa","AVL","D","Claim","1-Burnley and Old Trafford","1","Sat Sep 23, 2023, 9:09AM","6"
"Nathan Ake","MCI","D","Drop","1-Burnley and Old Trafford","1","Sat Sep 23, 2023, 9:09AM","6"
"Ross Barkley","CHE/LUT","M","Drop","1-OGBEAN'S","1","Sat Sep 23, 2023, 9:01AM","6"
"Alfie Doughty","LUT","M","Claim","1-Koke Vegas","1","Sat Sep 23, 2023, 9:00AM","6"
"Ryan Giles","LUT","M,F","Drop","1-Koke Vegas","1","Sat Sep 23, 2023, 9:00AM","6"
"Thomas Kaminski","LUT","G","Claim","1-The Dentist","1","Sat Sep 23, 2023, 6:51AM","6"
"Levi Colwill","CHE","D","Drop","1-The Dentist","1","Sat Sep 23, 2023, 6:51AM","6"
"Jacob Brown","LUT","F","Claim","1-rice cooker","1","Sat Sep 23, 2023, 6:30AM","6"
"Ryan Gravenberch","LIV","M","Drop","1-rice cooker","1","Sat Sep 23, 2023, 6:30AM","6"
"Nathan Collins","BRF","D","Claim","1-rice cooker","1","Sat Sep 23, 2023, 6:27AM","6"
"Serge Aurier","NOT","D","Drop","1-rice cooker","1","Sat Sep 23, 2023, 6:27AM","6"
"Facundo Buonanotte","BHA","M","Claim","1-The Dentist","1","Fri Sep 22, 2023, 4:12PM","6"
"Mads Roerslev","BRF","D","Drop","1-The Dentist","1","Fri Sep 22, 2023, 4:12PM","6"
"Craig Dawson","WOL","D","Claim","1-The Dentist","1","Thu Sep 21, 2023, 9:13PM","6"
"Oliver McBurnie","SHU","F","Drop","1-The Dentist","1","Thu Sep 21, 2023, 9:03PM","6"
"Nathan Ake","MCI","D","Claim","1-Burnley and Old Trafford","1","Thu Sep 21, 2023, 4:37PM","6"
"Luca Koleosho","BUR","F","Drop","1-Burnley and Old Trafford","1","Thu Sep 21, 2023, 4:33PM","6"
"Felipe","NOT","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Thu Sep 21, 2023, 11:32AM","6"
"Benoit Badiashile","CHE","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Thu Sep 21, 2023, 11:32AM","6"
"Lewis Cook","BOU","M","Claim","1-The Dentist","1","Thu Sep 21, 2023, 9:56AM","6"
"Willy Boly","NOT","D","Drop","1-The Dentist","1","Thu Sep 21, 2023, 9:56AM","6"
"Marvelous Nakamba","LUT","M","Claim","1-Koke Vegas","1","Thu Sep 21, 2023, 6:56AM","6"
"Harry Wilson","FUL","M","Drop","1-Koke Vegas","1","Thu Sep 21, 2023, 6:56AM","6"
"Mads Roerslev","BRF","D","Claim","1-The Dentist","1","Wed Sep 20, 2023, 10:01PM","6"
"Craig Dawson","WOL","D","Drop","1-The Dentist","1","Wed Sep 20, 2023, 10:01PM","6"
"Issa Kabore","LUT","D","Claim","1-The Dentist","1","Wed Sep 20, 2023, 8:47PM","6"
"Kurt Zouma","WHU","D","Drop","1-The Dentist","1","Wed Sep 20, 2023, 8:47PM","6"
"Mateo Kovacic","MCI","M","Claim","1 - The Narrative","1","Wed Sep 20, 2023, 6:47PM","6"
"Craig Dawson","WOL","D","Claim","1-The Dentist","1","Tue Sep 19, 2023, 10:11PM","6"
"Nathan Collins","BRF","D","Drop","1-The Dentist","1","Tue Sep 19, 2023, 10:11PM","6"
"Vladimir Coufal","WHU","D","Claim","1-OGBEAN'S","1","Tue Sep 19, 2023, 9:07PM","6"
"Joel Matip","LIV","D","Drop","1-OGBEAN'S","1","Tue Sep 19, 2023, 9:07PM","6"
"Nelson Semedo","WOL","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 19, 2023, 9:04PM","6"
"Neto","BOU","G","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 19, 2023, 9:03PM","6"
"Mark Flekken","BRF","G","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 19, 2023, 9:03PM","6"
"Kurt Zouma","WHU","D","Claim","1-The Dentist","1","Tue Sep 19, 2023, 9:01PM","6"
"Micky van de Ven","TOT","D","Drop","1-The Dentist","1","Tue Sep 19, 2023, 9:01PM","6"
"Nathan Collins","BRF","D","Claim","1-The Dentist","1","Tue Sep 19, 2023, 9:00PM","6"
"Luca Koleosho","BUR","F","Claim","1-Burnley and Old Trafford","2","Tue Sep 19, 2023, 9:00PM","6"
"Jordan Beyer","BUR","D","Drop","1-Burnley and Old Trafford","2","Tue Sep 19, 2023, 9:00PM","6"
"Axel Disasi","CHE","D","Claim","1-Koke Vegas","1","Tue Sep 19, 2023, 9:00PM","6"
"Jan-Paul van Hecke","BHA","D","Drop","1-Koke Vegas","1","Tue Sep 19, 2023, 9:00PM","6"
"Ibrahim Sangare","NOT","M","Claim","1-Burnley and Old Trafford","1","Tue Sep 19, 2023, 9:00PM","6"
"Fabio Vieira","ARS","M","Drop","1-Burnley and Old Trafford","1","Tue Sep 19, 2023, 9:00PM","6"
"Richarlison","TOT","F","Claim","1-bruNO HARD FEELINGS","1","Tue Sep 19, 2023, 9:00PM","6"
"Rico Henry","BRF","D","Drop","1-bruNO HARD FEELINGS","1","Tue Sep 19, 2023, 12:06PM","6"
"Lesley Ugochukwu","CHE","M,F","Drop","1 - The Narrative","1","Mon Sep 18, 2023, 7:23PM","6"
"Scott McKenna","NOT","D","Claim","1-rice cooker","1","Mon Sep 18, 2023, 2:41PM","5"
"Neco Williams","NOT","D","Drop","1-rice cooker","1","Mon Sep 18, 2023, 2:41PM","5"
"Jordan Beyer","BUR","D","Claim","1-Burnley and Old Trafford","1","Mon Sep 18, 2023, 2:31PM","5"
"Felipe","NOT","D","Drop","1-Burnley and Old Trafford","1","Mon Sep 18, 2023, 2:31PM","5"
"Lesley Ugochukwu","CHE","M,F","Claim","1 - The Narrative","1","Sun Sep 17, 2023, 8:55AM","5"
"Ryan Christie","BOU","M","Claim","1-rice cooker","1","Sun Sep 17, 2023, 8:09AM","5"
"Moises Caicedo","BHA/CHE","M","Drop","1-rice cooker","1","Sun Sep 17, 2023, 8:09AM","5"
"Nicolo Zaniolo","AVL","M","Drop","1-The Dentist","1","Sat Sep 16, 2023, 1:08PM","6"
"Fabio Vieira","ARS","M","Claim","1-Burnley and Old Trafford","1","Sat Sep 16, 2023, 12:22PM","5"
"Nathan Collins","BRF","D","Drop","1-Burnley and Old Trafford","1","Sat Sep 16, 2023, 12:22PM","5"
"Nathan Collins","BRF","D","Claim","1-Burnley and Old Trafford","1","Sat Sep 16, 2023, 11:33AM","5"
"Axel Disasi","CHE","D","Drop","1-Burnley and Old Trafford","1","Sat Sep 16, 2023, 11:33AM","5"
"Raul Jimenez","FUL","F","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 16, 2023, 11:33AM","6"
"Elliot Anderson","NEW","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 16, 2023, 11:31AM","5"
"Harrison Reed","FUL","M","Claim","1-Check Complete FC","1","Sat Sep 16, 2023, 9:53AM","5"
"John Stones","MCI","D","Drop","1-Check Complete FC","1","Sat Sep 16, 2023, 9:53AM","5"
"Tariq Lamptey","BHA","D","Claim","1-Check Complete FC","1","Sat Sep 16, 2023, 9:52AM","5"
"Nathan Ake","MCI","D","Drop","1 - The Narrative","1","Sat Sep 16, 2023, 9:23AM","5"
"Jan-Paul van Hecke","BHA","D","Claim","1-Koke Vegas","1","Sat Sep 16, 2023, 9:10AM","5"
"Alejandro Garnacho","MUN","M","Drop","1-Koke Vegas","1","Sat Sep 16, 2023, 9:10AM","5"
"Scott McTominay","MUN","M","Claim","1-Greek Prison XI","1","Sat Sep 16, 2023, 9:10AM","5"
"Anthony Martial","MUN","F","Drop","1-Greek Prison XI","1","Sat Sep 16, 2023, 9:10AM","5"
"Leon Bailey","AVL","M,F","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 16, 2023, 9:06AM","5"
"Cheick Doucoure","CRY","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 16, 2023, 9:05AM","5"
"Tyrick Mitchell","CRY","D","Claim","1-rice cooker","1","Sat Sep 16, 2023, 9:03AM","5"
"Mateo Kovacic","MCI","M","Drop","1-rice cooker","1","Sat Sep 16, 2023, 9:03AM","5"
"Facundo Pellistri","MUN","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Sep 16, 2023, 9:01AM","5"
"Nicolo Zaniolo","AVL","M","Claim","1-The Dentist","1","Sat Sep 16, 2023, 9:00AM","5"
"Josh Brownhill","BUR","M","Drop","1-The Dentist","1","Sat Sep 16, 2023, 9:00AM","5"
"Michail Antonio","WHU","F","Claim","1-Check Complete FC","1","Sat Sep 16, 2023, 12:11AM","5"
"Antoine Semenyo","BOU","F","Drop","1-Check Complete FC","1","Sat Sep 16, 2023, 12:08AM","5"
"Sergio Reguilon","TOT/MUN/BRF","D","Claim","1 - The Narrative","1","Fri Sep 15, 2023, 1:31PM","5"
"Mike Tresor","BUR","F","Drop","1 - The Narrative","1","Fri Sep 15, 2023, 1:31PM","5"
"Oliver McBurnie","SHU","F","Claim","1-The Dentist","1","Thu Sep 14, 2023, 9:01PM","5"
"Richarlison","TOT","F","Drop","1-The Dentist","1","Thu Sep 14, 2023, 9:01PM","5"
"Dominic Calvert-Lewin","EVE","F","Claim","1-OGBEAN'S","1","Wed Sep 13, 2023, 1:46AM","5"
"Antony","MUN","F","Drop","1-OGBEAN'S","1","Wed Sep 13, 2023, 1:46AM","5"
"Matheus Cunha","WOL","F","Claim","1-The Dentist","1","Tue Sep 12, 2023, 10:45PM","5"
"Nicolo Zaniolo","AVL","M","Drop","1-The Dentist","1","Tue Sep 12, 2023, 10:45PM","5"
"Facundo Pellistri","MUN","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 12, 2023, 11:31AM","5"
"James Garner","EVE","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 12, 2023, 11:31AM","5"
"Timothy Castagne","LEI/FUL","D","Claim","1-Burnley and Old Trafford","1","Mon Sep 11, 2023, 2:22PM","5"
"Matheus Cunha","WOL","F","Drop","1-Burnley and Old Trafford","1","Mon Sep 11, 2023, 2:22PM","5"
"Willian","FUL","F","Claim","1-OGBEAN'S","1","Fri Sep 8, 2023, 5:06PM","5"
"Dominic Calvert-Lewin","EVE","F","Drop","1-OGBEAN'S","1","Fri Sep 8, 2023, 5:06PM","5"
"Josh Brownhill","BUR","M","Claim","1-The Dentist","1","Thu Sep 7, 2023, 9:43PM","5"
"Willian","FUL","F","Drop","1-The Dentist","1","Thu Sep 7, 2023, 9:43PM","5"
"Alejandro Garnacho","MUN","M","Claim","1-Koke Vegas","1","Thu Sep 7, 2023, 9:43PM","5"
"Anthony Elanga","NOT","F","Drop","1-Koke Vegas","1","Thu Sep 7, 2023, 9:43PM","5"
"Joel Matip","LIV","D","Claim","1-The Dentist","1","Thu Sep 7, 2023, 9:37PM","5"
"Sergio Reguilon","TOT/MUN/BRF","D","Drop","1-The Dentist","1","Thu Sep 7, 2023, 9:37PM","5"
"Joseph Gomez","LIV","D","Claim","1-The Dentist","1","Thu Sep 7, 2023, 9:02PM","5"
"Alejandro Garnacho","MUN","M","Drop","1-The Dentist","1","Thu Sep 7, 2023, 9:02PM","5"
"Willian","FUL","F","Claim","1-The Dentist","1","Thu Sep 7, 2023, 1:15PM","5"
"Kurt Zouma","WHU","D","Drop","1-The Dentist","1","Thu Sep 7, 2023, 1:15PM","5"
"Mario Lemina","WOL","M","Claim","1-OGBEAN'S","1","Tue Sep 5, 2023, 9:21PM","5"
"Johann Gudmundsson","BUR","M","Drop","1-OGBEAN'S","1","Tue Sep 5, 2023, 9:21PM","5"
"Ross Barkley","CHE/LUT","M","Claim","1-OGBEAN'S","1","Tue Sep 5, 2023, 9:20PM","5"
"Jordan Beyer","BUR","D","Drop","1-OGBEAN'S","1","Tue Sep 5, 2023, 9:20PM","5"
"Benoit Badiashile","CHE","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 5, 2023, 9:00PM","5"
"Raul Jimenez","FUL","F","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Sep 5, 2023, 9:00PM","5"
"Cameron Archer","AVL/SHU","F","Claim","1 - The Narrative","8","Tue Sep 5, 2023, 9:00PM","5"
"Mike Tresor","BUR","F","Claim","1 - The Narrative","7","Tue Sep 5, 2023, 9:00PM","5"
"Marcus Tavernier","BOU","M","Claim","1-The Dentist","2","Tue Sep 5, 2023, 9:00PM","5"
"Dango Ouattara","BOU","F","Claim","1-Barkley’s Balls Sponsored by Baileys","5","Tue Sep 5, 2023, 9:00PM","5"
"Cole Palmer","MCI/CHE","M","Claim","1 - The Narrative","4","Tue Sep 5, 2023, 9:00PM","5"
